iter	Passed	Remaining
807	3806	904
808	3811	899
809	3815	894
810	3819	890
811	3823	885
812	3828	880
813	3832	875
814	3836	870
815	3841	866
816	3846	861
817	3851	856
818	3855	852
819	3860	847
820	3864	842
821	3869	838
822	3874	833
823	3878	828
824	3884	823
825	3888	819
826	3893	814
827	3898	809
828	3902	805
829	3907	800
830	3912	795
831	3916	790
832	3920	786
833	3925	781
834	3930	776
835	3934	771
836	3938	767
837	3943	762
838	3947	757
839	3952	752
840	3956	748
841	3962	743
842	3966	738
843	3970	733
844	3975	729
845	3980	724
846	3985	719
847	3990	715
848	3995	710
849	4000	705
850	4005	701
851	4010	696
852	4015	692
853	4019	687
854	4024	682
855	4027	677
856	4031	672
857	4035	667
858	4039	663
859	4044	658
860	4049	653
861	4053	648
862	4058	644
863	4063	639
864	4067	634
865	4071	629
866	4075	625
867	4080	620
868	4085	615
869	4090	611
870	4094	606
871	4099	601
872	4103	597
873	4108	592
874	4112	587
875	4117	582
876	4121	578
877	4125	573
878	4130	568
879	4135	563
880	4140	559
881	4144	554
882	4149	549
883	4154	545
884	4159	540
885	4164	535
886	4168	531
887	4173	526
888	4179	521
889	4182	516
890	4186	512
891	4190	507
892	4194	502
893	4199	497
894	4203	493
895	4208	488
896	4211	483
897	4216	478
898	4220	474
899	4224	469
900	4228	464
901	4233	460
902	4238	455
903	4243	450
904	4247	445
905	4252	441
906	4257	436
907	4261	431
908	4266	427
909	4270	422
910	4276	417
911	4279	412
912	4284	408
913	4288	403
914	4292	398
915	4296	393
916	4300	389
917	4305	384
918	4309	379
919	4313	375
920	4316	370
921	4321	365
922	4326	360
923	4331	356
924	4335	351
925	4340	346
926	4345	342
927	4350	337
928	4355	332
929	4359	328
930	4363	323
931	4368	318
932	4372	314
933	4378	309
934	4382	304
935	4386	299
936	4391	295
937	4396	290
938	4400	285
939	4404	281
940	4408	276
941	4413	271
942	4417	267
943	4422	262
944	4426	257
945	4430	252
946	4434	248
947	4439	243
948	4445	238
949	4450	234
950	4455	229
951	4459	224
952	4464	220
953	4469	215
954	4474	210
955	4477	206
956	4482	201
957	4487	196
958	4491	192
959	4496	187
960	4500	182
961	4505	177
962	4510	173
963	4515	168
964	4519	163
965	4523	159
966	4528	154
967	4533	149
968	4537	145
969	4542	140
970	4546	135
971	4550	131
972	4555	126
973	4558	121
974	4563	117
975	4568	112
976	4573	107
977	4577	102
978	4581	98
979	4586	93
980	4591	88
981	4595	84
982	4600	79
983	4604	74
984	4608	70
985	4612	65
986	4617	60
987	4621	56
988	4626	51
989	4630	46
990	4634	42
991	4639	37
992	4643	32
993	4648	28
994	4652	23
995	4657	18
996	4661	14
997	4666	9
998	4670	4
999	4674	0
